Fecha,Origen,Modelo,Color,Descripcion,Talle,Cant.,Costo,Venta,PU Neto,%IIBB + Gast.,Ganancia,Para Local,Margen,GanD
17-abr,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",10990,"8.861,51",,"4587,59","4.587,59",107%,"4.587,59"
20-abr,ML,AULM080CNF,MA,Cuero Nobucado,XL,1,"3756,48",9590,"7528,27",,"3771,79","3.771,79",100%,"3.771,79"
29-abr,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",10990,"8.696,66",,"4422,74","4.422,74",103%,"4.422,74"
07-may,ML,Campera,,Suela a Medida,L,1,15000,26490,"26016,5",,"11016,5","5.508,25",37%,"5.508,25"
12-may,LOCAL,Campera,NE,Cuero - Carlos Venezolano,L,1,15000,30000,30000,,15000,"7.500,00",50%,"7.500,00"
12-may,Johnny,Campera,NE,Reversible,L,1,15000,30000,30000,,15000,"7.500,00",50%,"7.500,00"
12-may,Johnny,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",9000,9000,,"4726,08","2.363,04",55%,"2.363,04"
15-may,ML,AULM080CNF,NE,Cuero Nobucado,L,1,"3756,48",9590,"7527,66",,"3771,18","3.771,18",100%,"3.771,18"
19-may,ML,AULM080CNF,VE,Cuero Nobucado,L,1,"3756,48",9990,"8011,51",,"4255,03","4.255,03",113%,"4.255,03"
20-may,ML,AULM080CNF,NE,Cuero Nobucado,M,1,"3756,48",9990,"7.811,71",,"4055,23","4.055,23",108%,"4.055,23"
24-may,Johnny,Campera,,Negra Mujer,,1,13000,23000,23000,,10000,"5.000,00",38%,"5.000,00"
02-jun,ML,AULM080CEF,MA,Cuero Engrasado,S,1,"4273,92",12990,10000,"519,6","5206,48","5.206,48",122%,"5.206,48"
03-jun,LOCAL,SO_CARPINCHO,,Sombrero Sim-Carpincho,,1,3900,8000,8000,,4100,"4.100,00",105%,|
06-jun,Johnny,PatosAlta,,Vino Los Patos Alta colección,,1,900,1800,1800,,900,450,50%,450
13-jun,ML,Campera,,Negra Hombre,XL,1,16000,31990,26684,"1279,6","9404,4","4.702,20",29%,"4.702,20"
15-jun,ML,Campera,,Suela,L,1,13500,28990,23699,"1159,6","9039,4","4.519,70",33%,"4.519,70"
20-jun,ML,Campera,,Suela,L,1,13500,35990,"24685,51","1439,6","9745,91","4.872,96",36%,"4.872,96"
30-jun,ML,AULM080CEF,,Cuero Engrasado,L,1,5500,13990,"11411,51","559,6","5351,91","5.351,91",97%,"5.351,91"
30-jun,ML,Campera,,Suela,M,1,13500,29990,25011,"1199,6","10311,4","5.155,70",38%,"5.155,70"
03-jul,ML,Campera,,Acolchada Azul,XL,1,17000,35990,"24.145,66","1439,6","5706,06","2.853,03",17%,"2.853,03"
08-jul,ML,Campera,,Hombre,,1,16000,30000,30000,0,14000,"7.000,00",44%,"7.000,00"
11-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10901,51","535,6","4160,18","4.160,18",67%,"4.160,18"
12-jul,IG,BoinaLana,,,L,1,1900,3500,3500,,1600,"1.600,00",84%,"1.600,00"
18-jul,LOCAL,Camp. Hombre Brasilero,,,,1,17000,33000,33000,,16000,"8.000,00",47%,"8.000,00"
18-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
20-jul,ML,AULM080CNF,,Cuero Nobuk,M,1,5493,12990,10561,"519,6","4548,4","4.548,40",83%,"4.548,40"
22-jul,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
24-jul,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
26-jul,IG/ML,Campera tipo suela,,MADEL-Tostado claro,XL,1,17500,32990,30300,"1319,6","11480,4","5.740,20",33%,"5.740,20"
27-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
27-jul,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
27-jul,IG,Campera a Medida,,Yeya,XL,1,15000,34500,34000,,19000,"9.500,00",63%,"9.500,00"
29-jul,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
29-jul,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
02-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.700,66","535,6","3959,33","3.959,33",64%,"3.959,33"
04-ago,LOCAL,,,MEX.Camp Hombre,,1,17000,32000,32000,,15000,"7.500,00",44%,"7.500,00"
04-ago,LOCAL,,,MEX.Camp Mujer,,1,15000,30000,30000,,15000,"7.500,00",50%,"7.500,00"
04-ago,LOCAL,,,Pashmina,,1,1800,3500,3500,,1700,"1.700,00",94%,"1.700,00"
07-ago,ML,AULM080CEF,,Cuero Engrasado,S,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
09-ago,MS,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",12990,"11.077,59","519,6","4352,26","4.352,26",70%,"4.352,26"
12-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
13-ago,LOCAL,,,Adriana,,1,17000,28000,28000,,11000,"5.500,00",32%,"5.500,00"
13-ago,LOCAL,,,Adriana,,1,17000,28000,28000,,11000,"5.500,00",32%,"5.500,00"
14-ago,ML,AULM080CEF,,Cuero Engrasado,S,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
14-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
16-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
20-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
21-ago,ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
21-ago,ML,AULM080CNF,NA,Cuero Nobuk,S,1,"5492,594615",12990,"10.204,16","519,6","4191,97","4.191,97",76%,"4.191,97"
22-ago,ML,AULM080CEF,,Cuero Engrasado,XL,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
24-ago,LOCAL,Vendio Papa,,Campera Hombre,S,1,17000,35000,35000,,18000,"9.000,00",53%,"9.000,00"
24-ago,LOCAL,Vendio Papa,,Billetera,,1,1250,2500,2500,,1250,"1.250,00",100%,"1.250,00"
24-ago,LOCAL,,,Billetera,,1,1250,2500,2500,,1250,625,50%,625
24-ago,LOCAL,,,Billetera,,1,1250,2500,2500,,1250,625,50%,625
24-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
24-ago,ML,AULM080CEF,,Cuero Engrasado,S,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
24-ago,LOCAL,,,Cinturon,,,,,,,1000,500,#¡DIV/0!,500
27-ago,LOCAL,,,Billetera J,,,,,,,1000,500,#¡DIV/0!,500
27-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.538,16","535,6","3796,83","3.796,83",61%,"3.796,83"
29-ago,ML,AULM080CEF,NE,Cuero Eng. NEGRO,M,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
29-ago,LOCAL,AULM080CNF,NA,Cuero Nobuk,L,1,"5492,594615",10000,"10.000,00",0,"4507,41","2.253,70",41%,"2.253,70"
31-ago,ML,AULM080CEF,,Cuero Engrasado,M,1,"6205,73",13390,"10.739,01","535,6","3997,68","3.997,68",64%,"3.997,68"
31-ago,IG/ML,AULM080CEF,,Cuero Engrasado,L,1,"6205,73",12990,"10.882,74","519,6","4157,41","4.157,41",67%,"4.157,41"
